,Zip Code,AREALAND,AREAWATR,Pop2010,HU100,NHW,NHB,NHAI,NHA,NHNH,NHO,NHT,HISP,PNHW,PNHB,PNHAI,PNHA,PNHNH,PNHO,PNHT,PHISP,POP65_,PCTPOP65,MEDAGE,VACNS,PVACNS,PHOWN,PWOMORT,PRENT,PLT18SP,MHINC,TotalCases
20,21226,25718732.0,17453901.0,7561.0,3347.0,5667.0,1088.0,36.0,141.0,1.0,4.0,253.0,371.0,75.0,14.4,0.5,1.9,0.0,0.1,3.3,4.9,639.0,8.5,34.7,408.0,12.2,50.9,16.7,38.9,46.1,39936.5,170
21,21227,29853685.0,570967.0,33534.0,13611.0,24303.0,5032.0,68.0,1207.0,25.0,43.0,746.0,2110.0,72.5,15.0,0.2,3.6,0.1,0.1,2.2,6.3,4300.0,12.8,35.0,814.0,6.0,48.2,24.7,36.0,45.3,47486.950000000004,1195
22,21228,40143654.0,107562.0,47577.0,19985.0,30774.0,10146.0,104.0,3568.0,20.0,104.0,1008.0,1853.0,64.7,21.3,0.2,7.5,0.0,0.2,2.1,3.9,9045.0,19.0,43.4,827.0,4.1,52.8,26.0,28.7,24.8,58055.3,1674
23,21229,15227940.0,9418.0,45213.0,19681.0,8059.0,34089.0,121.0,1249.0,22.0,62.0,720.0,891.0,17.8,75.4,0.3,2.8,0.0,0.1,1.6,2.0,5773.0,12.8,37.2,1844.0,9.4,44.5,22.5,42.6,63.6,46606.51111111111,1670
24,21230,16325575.0,5336342.0,33568.0,17478.0,21122.0,8821.0,87.0,1045.0,12.0,59.0,614.0,1808.0,62.9,26.3,0.3,3.1,0.0,0.2,1.8,5.4,3018.0,9.0,31.8,2457.0,14.1,44.5,19.4,44.8,55.2,53844.21000000001,1282
25,21231,2259604.0,384090.0,15748.0,9108.0,7821.0,5126.0,90.0,595.0,10.0,14.0,271.0,1821.0,49.7,32.6,0.6,3.8,0.1,0.1,1.7,11.6,1293.0,8.2,32.1,1395.0,15.3,28.0,21.1,64.6,67.0,69093.02857142857,517
26,21234,33648163.0,11024.0,69752.0,31527.0,45694.0,17218.0,138.0,2969.0,23.0,101.0,1246.0,2363.0,65.5,24.7,0.2,4.3,0.0,0.1,1.8,3.4,12223.0,17.5,40.1,1500.0,4.8,44.6,27.2,38.7,41.6,54366.9,2121
27,21236,22187907.0,27168.0,38474.0,16332.0,28520.0,4790.0,77.0,3107.0,4.0,69.0,732.0,1175.0,74.1,12.4,0.2,8.1,0.0,0.2,1.9,3.1,4785.0,12.4,37.9,563.0,3.4,53.5,23.7,29.9,32.1,56655.8,1128
28,21237,29708940.0,665797.0,30059.0,12461.0,17084.0,8049.0,113.0,2233.0,8.0,68.0,597.0,1907.0,56.8,26.8,0.4,7.4,0.0,0.2,2.0,6.3,3946.0,13.1,37.2,680.0,5.5,48.9,24.5,35.3,35.8,49335.45,1239
29,21239,8375263.0,2110.0,28793.0,12505.0,4298.0,22820.0,46.0,600.0,11.0,38.0,440.0,540.0,14.9,79.3,0.2,2.1,0.0,0.1,1.5,1.9,3644.0,12.7,36.0,740.0,5.9,45.6,20.2,42.9,59.5,52662.3,1075
30,21251,461424.0,0.0,934.0,0.0,33.0,859.0,0.0,12.0,1.0,0.0,25.0,4.0,3.5,92.0,0.0,1.3,0.1,0.0,2.7,0.4,0.0,0.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,62866.9,0
31,21287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19374.1,0
