Neigh,CSA,Pop2010,Zip,MHINC,TotalCOVIDCases
Montebello,Northwood,16643,21251,56197.2,0.0
Morgan State University,Northwood,16643,21251,56197.2,0.0
New Northwood,Northwood,16643,21251,56197.2,0.0
Original Northwood,Northwood,16643,21251,56197.2,0.0
Perring Loch,Northwood,16643,21251,56197.2,0.0
Stonewood-Pentwood-Winston,Northwood,16643,21251,56197.2,0.0
CARE,Oldtown/Middle East,10021,21287,19374.1,0.0
Dunbar-Broadway,Oldtown/Middle East,10021,21287,19374.1,0.0
Gay Street,Oldtown/Middle East,10021,21287,19374.1,0.0
Middle East,Oldtown/Middle East,10021,21287,19374.1,0.0
Oldtown,Oldtown/Middle East,10021,21287,19374.1,0.0
Penn-Fallsway,Oldtown/Middle East,10021,21287,19374.1,0.0
Pleasant View Gardens,Oldtown/Middle East,10021,21287,19374.1,0.0
