ReferenceID,Block,Lot,BuildingAddress,NoticeDate,Neighborhood,PoliceDistrict,CouncilDistrict,Location,Zip Codes,2010 Census Neighborhoods,2010 Census Wards Precincts
0274 101 103013,0274,101,1909 WILHELM ST,10/30/2013,Carrollton Ridge,Southern,9,"(39.28352449, -76.64731951)",27632,36,279
1191 011 042716,1191,011,1025 N CAROLINE ST,04/27/2016,Gay Street,Eastern,12,"(39.3024134, -76.59757492)",13987,88,127
2418 009 073117,2418,009,2817 PRESBURY ST,07/31/2017,Northwest Community Action,Southwestern,7,"(39.30705123, -76.66445274)",27297,166,41
3417 106 053019,3417,106,2443 DRUID HILL AVE,05/30/2019,Penn North,Western,7,"(39.31236188, -76.63990077)",27301,195,18
4188 002 122318,4188,002,3205 BELAIR ROAD,12/23/2018,Belair-Edison,Notheastern,13,"(39.32065019, -76.57438241)",26956,275,194
1857 004 030918,1857,004,707 S GLOVER ST,03/09/2018,Canton,Southeastern,1,"(39.28390202, -76.57900321)",27935,30,114
0050 039 110118,0050,039,1105 MCKEAN AVE,11/01/2018,Sandtown-Winchester,Western,9,"(39.30136381, -76.64665741)",27301,221,86
0373 013 102609,0373,013,1424 ARGYLE AVE,10/26/2009,Upton,Central,11,"(39.30077031, -76.63350081)",27301,242,101
0127 016 040312,0127,016,505 N CARROLLTON AVE,04/03/2012,Harlem Park,Western,9,"(39.2944662, -76.63675723)",27632,106,53
4166 045 092712,4166,045,1616 NORMAL AVE,09/27/2012,Darley Park,Eastern,14,"(39.31605871, -76.59492986)",26956,63,198
1538 009 082812,1538,009,1205 N MILTON AVE,08/28/2012,Berea,Eastern,13,"(39.30517065, -76.58240264)",26956,15,153
7076 028 083017,7076,028,535 FREEMAN ST,08/30/2017,Brooklyn,Southern,10,"(39.2368564, -76.6025026)",27937,26,143
3177A023 121712,3177A,023,3814 TOWANDA AVE,12/17/2012,Park Circle,Northwestern,6,"(39.33162183, -76.66407408)",27295,187,72
1486 022 090707,1486,022,2503 E FEDERAL ST,09/07/2007,Berea,Eastern,13,"(39.30873869, -76.58242805)",26956,15,152
0276 014 050319,0276,014,307 S FULTON AVE,05/03/2019,New Southwest/Mount Clare,Southern,9,"(39.28409703, -76.64473278)",27632,159,9
7993C005 102717,7993C,005,808 N CHAPELGATE LANE,10/27/2017,West Hills,Southwestern,8,"(39.29380131, -76.70707218)",27950,254,55
2167B020 050510,2167B,020,2580 W FAYETTE ST,05/05/2010,Shipley Hill,Southwestern,9,"(39.28903243, -76.65851761)",27632,225,78
4552 059 121317,4552,059,5211 FLORENCE AVE,12/13/2017,Arlington,Northwestern,5,"(39.34828386, -76.6791863)",27295,5,244
2347 029 070115,2347,029,653 N BENTALOU ST,07/01/2015,Midtown-Edmondson,Western,9,"(39.29656103, -76.65305453)",27297,153,84
2137 053 050319,2137,053,504 BRUNSWICK ST,05/03/2019,Millhill,Southwestern,10,"(39.27897656, -76.65945247)",27632,154,282
1477 104 031907,1477,104,1711 CRYSTAL AVE,03/19/2007,Broadway East,Eastern,12,"(39.30793746, -76.59334997)",26956,23,154
3061B018 111315,3061B,018,2613 N HILTON ST,11/13/2015,Hanlon-Longwood,Northwestern,7,"(39.31679005, -76.67253298)",27297,103,46
3303 033 022812,3303,033,3131 OAKFORD AVE,02/28/2012,Central Park Heights,Northwestern,6,"(39.3404096, -76.66620992)",27295,43,237
4132 040 060209,4132,040,1519 ABBOTSTON ST,06/02/2009,Coldstream Homestead Montebello,Notheastern,14,"(39.3235324, -76.59590196)",27307,54,189
0699 096 020815,0699,096,1903 CHRISTIAN ST,02/08/2015,Carrollton Ridge,Southern,9,"(39.28247516, -76.64704442)",27632,36,279
1570 032 070217,1570,032,1024 N PATTERSON PARK AVE,07/02/2017,Middle East,Eastern,13,"(39.30292595, -76.5856218)",13987,152,153
3066C016 121916,3066C,016,3034 GWYNNS FALLS PKWY,12/19/2016,Hanlon-Longwood,Northwestern,7,"(39.31472296, -76.66936392)",27297,103,46
2902 003G 072016,2902,003G,3615 LIBERTY HEIGHTS AVE,07/20/2016,Forest Park,Northwestern,6,"(39.32552396, -76.67731633)",27295,79,50
0244 060 021717,0244,060,1713 LEMMON ST,02/17/2017,Union Square,Southern,9,"(39.28563572, -76.64428353)",27632,236,9
4021C082 072415,4021C,082,2212 KIRK AVE,07/24/2015,East Baltimore Midway,Eastern,12,"(39.31502854, -76.60560155)",27307,73,157
1463 039 031312,1463,039,1730 N MONTFORD AVE,03/13/2012,Broadway East,Eastern,13,"(39.31065065, -76.58469584)",26956,23,277
6152 020 092614,6152,020,608 N BOULDIN ST,09/26/2014,Ellwood Park/Monument,Southeastern,13,"(39.29862298, -76.5717097)",13987,78,128
4156 025 082207,4156,025,1824 E NORTH AVE,08/22/2007,South Clifton Park,Eastern,12,"(39.31247517, -76.59229674)",26956,226,155
3003 029 040910,3003,029,1917 N ROSEDALE ST,04/09/2010,Walbrook,Southwestern,7,"(39.30983958, -76.6690835)",27297,246,43
1548 036 040716,1548,036,1721 E BIDDLE ST,04/07/2016,Middle East,Eastern,12,"(39.30414916, -76.59307055)",26956,152,100
5898H055 110716,5898H,055,4013 EIERMAN AVE,11/07/2016,Arcadia,Notheastern,3,"(39.33003732, -76.56642099)",13991,3,206
2736 001 072918,2736,001,3400 OAKFIELD AVE,07/29/2018,Central Forest Park,Northwestern,6,"(39.32612537, -76.68672292)",13995,41,50
3326 002 020612,3326,002,3402 PARK HEIGHTS AVE,02/06/2012,Park Circle,Northwestern,6,"(39.32617516, -76.65792372)",27295,187,71
2201 020 032316,2201,020,2339 EDMONDSON AVE,03/23/2016,Rosemont Homeowners/Tenants,Western,9,"(39.29452829, -76.6544517)",27632,218,84
1101 057 110714,1101,057,1806 N BOND ST,11/07/2014,Oliver,Eastern,12,"(39.31079632, -76.59725775)",26956,180,155
0005 032 070811,0005,032,1809 N MOUNT ST,07/08/2011,Sandtown-Winchester,Western,7,"(39.30915877, -76.64469231)",27301,221,22
0206 002 092909,0206,002,2002 HOLLINS ST,09/29/2009,Boyd-Booth,Southwestern,9,"(39.28726889, -76.64881408)",27632,4,79
2505A057 040918,2505A,057,714 N GRANTLEY ST,04/09/2018,Edgewood,Southwestern,8,"(39.29582447, -76.67734053)",27950,269,284
0294 023 091616,0294,023,1619 W NORTH AVE,09/16/2016,Penn North,Western,7,"(39.30978665, -76.64304524)",27301,195,22
4605A004A 020319,4605A,004A,4971 EDGEMERE AVE,02/03/2019,Central Park Heights,Northwestern,6,"(39.34569381, -76.6752697)",27295,43,240
1478 068 091710,1478,068,1509 N DURHAM ST,09/17/2010,Broadway East,Eastern,12,"(39.30803743, -76.59198264)",26956,23,154
0128 069 022419,0128,069,1004 BENNETT PL,02/24/2019,Harlem Park,Western,9,"(39.29509372, -76.63458659)",27632,106,53
0851 007 040705,0851,007,516 SCOTT ST,04/07/2005,Washington Village/Pigtown,Southern,10,"(39.2823869, -76.62901181)",27953,250,168
4028A016 051507,4028A,016,2114 HARFORD ROAD,05/15/2007,East Baltimore Midway,Eastern,12,"(39.31458729, -76.59795369)",27307,73,156
0190 054 050617,0190,054,2105 W FAYETTE ST,05/06/2017,Penrose/Fayette Street Outreach,Western,9,"(39.28916538, -76.65037686)",27632,197,79
3244 053 111004,3244,053,2226 RUSKIN AVE,11/10/2004,Parkview/Woodbrook,Western,7,"(39.3155028, -76.64745744)",27301,190,19
1108 081 031519,1108,081,1713 N DALLAS ST,03/15/2019,Oliver,Eastern,12,"(39.31001442, -76.59748038)",26956,180,154
2406 047 061714,2406,047,1727 POPLAR GROVE ST,06/17/2014,Northwest Community Action,Southwestern,7,"(39.30785045, -76.6654222)",27297,166,41
7093 015 060117,7093,015,527 PONTIAC AVE,06/01/2017,Brooklyn,Southern,10,"(39.23527902, -76.60398965)",27937,26,142
1447 024 052119,1447,024,1805 E NORTH AVE,05/21/2019,Broadway East,Eastern,12,"(39.31197174, -76.59279548)",26956,23,155
3260 049 031808,3260,049,2108 N PULASKI ST,03/18/2008,Mondawmin,Western,7,"(39.31208978, -76.6517095)",27301,157,39
7370 001 111716,7370,001,3501 8TH AVE,11/17/2016,Fairfield Area,Southern,10,"(39.23196672, -76.57405365)",27939,82,38
3937 010 062119,3937,010,2862 HARFORD ROAD,06/21/2019,Coldstream Homestead Montebello,Notheastern,14,"(39.32272045, -76.58926011)",27307,54,189
2444 018 062813,2444,018,2906 WINCHESTER ST,06/28/2013,Winchester,Southwestern,9,"(39.30155105, -76.66623851)",27297,247,83
0696 098 112116,0696,098,2209 CHRISTIAN ST,11/21/2016,Carrollton Ridge,Southwestern,9,"(39.28102296, -76.65130992)",27632,36,279
0277 053 020813,0277,053,301 S MOUNT ST,02/08/2013,New Southwest/Mount Clare,Southern,9,"(39.28425236, -76.6433111)",27632,159,9
0104 018 080808,0104,018,1035 W LANVALE ST,08/08/2008,Harlem Park,Western,9,"(39.29771947, -76.63519525)",27301,106,53
0185 030 110504,0185,030,1058 W FAYETTE ST,11/05/2004,Poppleton,Western,9,"(39.2900764, -76.63560358)",27632,201,8
0126 014 041715,0126,014,528 N CARROLLTON AVE,04/17/2015,Harlem Park,Western,9,"(39.29501251, -76.63739382)",27632,106,53
0097 032 070314,0097,032,739 N FULTON AVE,07/03/2014,Harlem Park,Western,9,"(39.29738496, -76.64536508)",27301,106,88
2409B041 122418,2409B,041,2822 PRESSTMAN ST,12/24/2018,Northwest Community Action,Southwestern,9,"(39.30483081, -76.6647106)",27297,166,82
0396 036 062411,0396,036,1331 DIVISION ST,06/24/2011,Upton,Central,11,"(39.30179151, -76.62998967)",27301,242,90
1457 081 013007,1457,081,1709 N DURHAM ST,01/30/2007,Broadway East,Eastern,12,"(39.31017762, -76.59212041)",26956,23,154
0163 066 120103,0163,066,240 N FULTON AVE,12/01/2003,Franklin Square,Western,9,"(39.29169345, -76.64566166)",27632,84,80
1627 016 090317,1627,016,731 N LAKEWOOD AVE,09/03/2017,Madison-Eastend,Eastern,13,"(39.29962929, -76.57927176)",13987,145,125
3952 039 042118,3952,039,1828 E 28TH ST,04/21/2018,Coldstream Homestead Montebello,Notheastern,14,"(39.32408268, -76.58986608)",27307,54,189
1608 076 051608,1608,076,814 N PORT ST,05/16/2008,Milton-Montford,Eastern,13,"(39.30042929, -76.58329179)",13987,155,125
4616 098T 060519,4616,098T,4816 PIMLICO ROAD,06/05/2019,Central Park Heights,Northwestern,6,"(39.34734857, -76.66928016)",27295,43,242
0055C064 021315,0055C,064,1102 N CARROLLTON AVE,02/13/2015,Sandtown-Winchester,Western,9,"(39.3013532, -76.63768021)",27301,221,15
0103 027 041615,0103,027,1102 HARLEM AVE,04/16/2015,Harlem Park,Western,9,"(39.29695719, -76.63617517)",27301,106,53
0277 021 100712,0277,021,1606 WILKENS AVE,10/07/2012,New Southwest/Mount Clare,Southern,9,"(39.28364171, -76.64255735)",27632,159,9
2174A028 041210,2174A,028,146 WILLARD ST,04/12/2010,Shipley Hill,Southwestern,9,"(39.28469308, -76.65504786)",27632,225,78
0260 044 093008,0260,044,1842 MCHENRY ST,09/30/2008,Carrollton Ridge,Southern,9,"(39.28443789, -76.64633368)",27632,36,9
0280 006 071218,0280,006,310 S CALHOUN ST,07/12/2018,New Southwest/Mount Clare,Southern,9,"(39.28420846, -76.63954502)",27632,159,9
2505 003 011717,2505,003,704 N GRANTLEY ST,01/17/2017,Edgewood,Southwestern,8,"(39.29546101, -76.67755202)",27950,269,284
4129 045 052209,4129,045,1617 CARSWELL ST,05/22/2009,Coldstream Homestead Montebello,Notheastern,14,"(39.32195257, -76.59478096)",27307,54,159
5197 012A 011918,5197,012A,549 OAKLAND AVE,01/19/2018,Wilson Park,Northern,4,"(39.34329735, -76.60741244)",14009,259,205
0057 004 042110,0057,004,1006 N PAYSON ST,04/21/2010,Bridgeview/Greenlawn,Western,9,"(39.29997333, -76.64959138)",27301,22,85
0073 021 112213,0073,021,1707 MOSHER ST,11/22/2013,Sandtown-Winchester,Western,9,"(39.29970196, -76.64496189)",27301,221,86
