ReferenceID,Block,Lot,BuildingAddress,NoticeDate,Neighborhood,PoliceDistrict,CouncilDistrict,Location,Zip Codes,2010 Census Neighborhoods,2010 Census Wards Precincts
2134 042 082508,2134,043,2804 WILKENS AVE,08/25/2008,Gwynns Falls,Southwestern,10,"(39.27671336, -76.6636223)",27632,100,282
0185 044 081212,0185,044,1112 W FAYETTE ST,08/12/2012,Poppleton,Western,9,"(39.29002216, -76.63646112)",27632,201,8
3268 031 020117,3268,031,2010 ELGIN LANE,02/01/2017,Mondawmin,Western,7,"(39.31451131, -76.64996926)",27301,157,39
4097 025 041018,4097,025,1129 GORSUCH AVE,04/10/2018,Better Waverly,Northern,14,"(39.32508261, -76.60165307)",27307,16,180
5325B049 093018,5325B,049,0,09/30/2018,Loch Raven,Notheastern,4,"(39.35815675, -76.58150532)",28564,64,259
4164 008 080907,4164,008,1414 DARLEY AVE,08/09/2007,Darley Park,Eastern,14,"(39.31513884, -76.59640859)",26956,63,198
0161 029 011410,0161,029,2002 W LEXINGTON ST,01/14/2010,Penrose/Fayette Street Outreach,Western,9,"(39.29071422, -76.64927592)",27632,197,80
2127 029 120917,2127,029,501 S CATON AVE,12/09/2017,Gwynns Falls,Southwestern,10,"(39.27871665, -76.67124642)",27950,100,282
0058 072 042418,0058,072,1009 APPLETON ST,04/24/2018,Midtown-Edmondson,Western,9,"(39.30030122, -76.6482202)",27301,153,86
4114I024 031513,4114I,024,2556 GARRETT AVE,03/15/2013,Coldstream Homestead Montebello,Notheastern,14,"(39.31973137, -76.59818978)",27307,54,159
7492C039 062416,7492C,039,2582 MARBOURNE AVE,06/24/2016,Lakeland,Southern,10,"(39.25292784, -76.64733905)",27953,134,162
7441A001 062113,7441A,001,2231 SIDNEY AVE,06/21/2013,Westport,Southern,10,"(39.26330154, -76.63252162)",27953,258,151
0075 025 061619,0075,025,934 N STRICKER ST,06/16/2019,Sandtown-Winchester,Western,9,"(39.29981441, -76.64184953)",27301,221,86
0003 027 012417,0003,027,1825 W NORTH AVE,01/24/2017,Sandtown-Winchester,Western,7,"(39.30961131, -76.64721784)",27301,221,25
2712 013 110714,2712,013,4000 CHATHAM ROAD,11/07/2014,Dorchester,Northwestern,6,"(39.33070134, -76.68494183)",13995,38,64
7202 022 110714,7202,022,4607 PENNINGTON AVE,11/07/2014,Curtis Bay,Southern,10,"(39.22429339, -76.5881082)",27939,61,37
6276 002 092415,6276,002,3323 E BALTIMORE ST,09/24/2015,Patterson Park Neighborhood,Southeastern,1,"(39.29227677, -76.56962604)",27935,9,129
1121 003 120218,1121,003,1504 HOLBROOK ST,12/02/2018,Oliver,Eastern,12,"(39.30730232, -76.60337853)",13645,180,193
1167 037 020318,1167,037,1105 BRENTWOOD AVE,02/03/2018,Johnston Square,Eastern,12,"(39.30298461, -76.60931944)",13645,124,104
1553 008 111610,1553,008,2214 E CHASE ST,11/16/2010,Middle East,Eastern,13,"(39.30373452, -76.58647947)",26956,152,153
1154 022 062917,1154,022,602 E BIDDLE ST,06/29/2017,Johnston Square,Eastern,12,"(39.30390455, -76.60906384)",13645,124,104
4602 054 030206,4602,054,3706 MANCHESTER AVE,03/02/2006,Central Park Heights,Northwestern,6,"(39.34308411, -76.67648862)",27295,43,239
2386 001C 100713,2386,001C,2812 W LAFAYETTE AVE,10/07/2013,Mosher,Western,9,"(39.29828049, -76.66318113)",27297,163,48
3234 015A 120815,3234,015A,2303 BRYANT AVE,12/08/2015,Parkview/Woodbrook,Western,7,"(39.31677267, -76.64836639)",27301,190,21
3808 030 010517,3808,030,104 E 20TH ST,01/05/2017,Barclay,Northern,12,"(39.3125068, -76.6142847)",27307,10,160
0163 005 052419,0163,005,1808 W LEXINGTON ST,05/24/2019,Franklin Square,Western,9,"(39.2908141, -76.64606248)",27632,84,80
1643 079 012110,1643,079,636 N BELNORD AVE,01/21/2010,McElderry Park,Southeastern,13,"(39.29861327, -76.57893494)",13987,141,125
0242 106 010808,0242,106,1920 LEMMON ST,01/08/2008,Carrollton Ridge,Southern,9,"(39.28574306, -76.64760559)",27632,36,79
4028A015 120408,4028A,015,2112 HARFORD ROAD,12/04/2008,East Baltimore Midway,Eastern,12,"(39.31455975, -76.59798267)",27307,73,156
2100 023 032819,2100,023,2645 WILKENS AVE,03/28/2019,Millhill,Southwestern,9,"(39.27832546, -76.65701309)",27632,154,281
1125 042 062917,1125,042,1419 E FEDERAL ST,06/29/2017,Oliver,Eastern,12,"(39.30818294, -76.59914984)",26956,180,193
0103 026 042012,0103,026,1104 HARLEM AVE,04/20/2012,Harlem Park,Western,9,"(39.29695472, -76.63622491)",27301,106,53
0119 017 072909,0119,017,1911 EDMONDSON AVE,07/29/2009,Midtown-Edmondson,Western,9,"(39.29490605, -76.647696)",27632,153,87
6152 043 031111,6152,043,615 N EAST AVE,03/11/2011,Ellwood Park/Monument,Southeastern,13,"(39.29877977, -76.57200316)",13987,78,128
1132 047 010612,1132,047,1407 HOLBROOK ST,01/06/2012,Oliver,Eastern,12,"(39.30653171, -76.60286497)",13645,180,193
1155 080 112318,1155,080,721 MURA ST,11/23/2018,Johnston Square,Eastern,12,"(39.30419227, -76.60718811)",13645,124,104
0084 080 030606,0084,080,822 MCKEAN AVE,03/06/2006,Harlem Park,Western,9,"(39.29835715, -76.64694394)",27301,106,88
2393 025 102118,2393,025,2746 RIGGS AVE,10/21/2018,Winchester,Southwestern,9,"(39.30059028, -76.66308811)",27297,247,48
0219 028 060118,0219,028,13 S SCHROEDER ST,06/01/2018,Hollins Market,Southern,9,"(39.28831202, -76.63355886)",27632,114,7
1538 025C 091316,1538,025C,2520 E BIDDLE ST,09/13/2016,Berea,Eastern,13,"(39.3049633, -76.58196201)",26956,15,153
4580 035 012413,4580,035,3306 SPAULDING AVE,01/24/2013,Central Park Heights,Northwestern,6,"(39.34726788, -76.67686834)",27295,43,240
2394 045 061416,2394,045,1006 N DUKELAND ST,06/14/2016,Mosher,Western,9,"(39.29987235, -76.66375779)",27297,163,48
2201 032 082809,2201,032,2316 LAURETTA AVE,08/28/2009,Rosemont Homeowners/Tenants,Western,9,"(39.29429249, -76.65374229)",27632,218,84
0200 121 070912,0200,121,1100 W FAIRMOUNT AVE,07/09/2012,Poppleton,Western,9,"(39.2892889, -76.63639674)",27632,201,7
3855 017 091018,3855,017,2958 GREENMOUNT AVE,09/10/2018,Abell,Northern,12,"(39.32466261, -76.60967826)",27307,1,33
6158A018 052817,6158A,018,3327 MCELDERRY ST,05/28/2017,Ellwood Park/Monument,Southeastern,13,"(39.29800463, -76.57047009)",13987,78,128
1448 017 080811,1448,017,1932 E LAFAYETTE AVE,08/08/2011,Broadway East,Eastern,12,"(39.31101663, -76.59065483)",26956,23,155
3960 030 122017,3960,030,1727 E 32ND ST,12/20/2017,Coldstream Homestead Montebello,Notheastern,14,"(39.32658954, -76.59095948)",27307,54,190
0300C037 032818,0300C,037,1562 N CAREY ST,03/28/2018,Sandtown-Winchester,Western,7,"(39.30738955, -76.64129026)",27301,221,22
2754 019B 032318,2754,019B,3105 CHELSEA TERR,03/23/2018,Concerned Citizens Of Forest Park,Northwestern,6,"(39.32337813, -76.68276896)",27297,55,50
0359 014 112107,0359,014,1528 ARGYLE AVE,11/21/2007,Upton,Central,11,"(39.30174488, -76.6345341)",27301,242,101
5898H003J 112116,5898H,003J,4408 BELAIR ROAD,11/21/2016,Arcadia,Notheastern,3,"(39.3293184, -76.56442944)",13991,3,206
0117 017 041307,0117,017,532 N PULASKI ST,04/13/2007,Midtown-Edmondson,Western,9,"(39.2944098, -76.65066776)",27632,153,84
2131B024N 080416,2131B,024N,527 S LONGWOOD ST,08/04/2016,Gwynns Falls,Southwestern,10,"(39.27837327, -76.66624968)",27632,100,282
7089 013 051019,7089,013,3731 S HANOVER ST,05/10/2019,Brooklyn,Southern,10,"(39.23659195, -76.61019301)",27937,26,144
0112 061 102711,0112,061,1312 EDMONDSON AVE,10/27/2011,Harlem Park,Western,9,"(39.29563392, -76.63929624)",27301,106,53
0360 020 121609,0360,020,1551 ARGYLE AVE,12/16/2009,Upton,Central,11,"(39.3023743, -76.6346078)",27301,242,101
2174A039 033110,2174A,039,116 WILLARD ST,03/31/2010,Shipley Hill,Southwestern,9,"(39.28533431, -76.65532661)",27632,225,78
4616 098Q 122318,4616,098Q,4822 PIMLICO ROAD,12/23/2018,Central Park Heights,Northwestern,6,"(39.34747845, -76.66925025)",27295,43,242
2275D005 122318,2275D,005,3508 W CATON AVE,12/23/2018,Saint Josephs,Southwestern,8,"(39.28754097, -76.6750138)",27950,167,74
0071 088 050815,0071,088,916 APPLETON ST,05/08/2015,Midtown-Edmondson,Western,9,"(39.29935285, -76.64866457)",27301,153,85
1553 006 120218,1553,006,2210 E CHASE ST,12/02/2018,Middle East,Eastern,13,"(39.30372998, -76.58657646)",26956,152,153
7229 016 032918,7229,016,4107 GRACE CT,03/29/2018,Curtis Bay,Southern,10,"(39.22817265, -76.58747336)",27939,61,37
7419D033 081116,7419D,033,2117 SIDNEY AVE,08/11/2016,Westport,Southern,10,"(39.26428243, -76.63192038)",27953,258,151
5237 060M 031017,5237,060M,6005 THE ALAMEDA,03/10/2017,Ramblewood,Notheastern,4,"(39.36627697, -76.59312857)",28564,206,258
2173 019 032408,2173,019,137 WILLARD ST,03/24/2008,Shipley Hill,Southwestern,9,"(39.2851268, -76.6546564)",27632,225,78
0578 021 122118,0578,021,329 N HOWARD ST,12/21/2018,Downtown,Central,11,"(39.29383578, -76.61942549)",13642,65,5
1608 062 062711,1608,062,2412 E MADISON ST,06/27/2011,Milton-Montford,Eastern,13,"(39.30006468, -76.58294285)",13987,155,125
3836A015 110218,3836A,015,433 E 27TH ST,11/02/2018,Harwood,Northern,12,"(39.32073963, -76.61013558)",27307,98,33
0430 070 110504,0430,070,1132 MYRTLE AVE,11/05/2004,Upton,Central,11,"(39.29748241, -76.63109259)",13642,242,89
0309 005 022312,0309,005,2106 MCCULLOH ST,02/23/2012,Druid Heights,Central,7,"(39.30887974, -76.63607572)",27301,66,98
0127 045 080816,0127,045,536 N ARLINGTON AVE,08/08/2016,Harlem Park,Western,9,"(39.29537779, -76.63593332)",27632,106,53
1122 049 042111,1122,049,1501 HOLBROOK ST,04/21/2011,Oliver,Eastern,12,"(39.3072443, -76.60291069)",13645,180,193
3186 003 032715,3186,003,2825 BOARMAN AVE,03/27/2015,Towanda-Grantley,Northwestern,6,"(39.33743444, -76.66846307)",27295,232,283
0104 039 040908,0104,039,928 HARLEM AVE,04/09/2008,Harlem Park,Western,9,"(39.29707703, -76.63434252)",27301,106,53
4586 026 030617,4586,026,3011 W BELVEDERE AVE,03/06/2017,Central Park Heights,Northwestern,6,"(39.35035937, -76.67278211)",27295,43,243
2481 027 072918,2481,027,2938 ARUNAH AVE,07/29/2018,Franklintown Road,Southwestern,9,"(39.2953731, -76.66621403)",27297,86,83
3994 030 021218,3994,030,1524 E 33RD ST,02/12/2018,Ednor Gardens-Lakeside,Notheastern,14,"(39.32873431, -76.59235647)",27307,77,187
0120 029 031907,0120,029,1813 EDMONDSON AVE,03/19/2007,Harlem Park,Western,9,"(39.29494784, -76.64642606)",27632,106,88
4129 043 111814,4129,043,1621 CARSWELL ST,11/18/2014,Coldstream Homestead Montebello,Notheastern,14,"(39.3219014, -76.59470003)",27307,54,159
8245 013 080715,8245,013,3700 GWYNN OAK AVE,08/07/2015,Howard Park,Northwestern,5,"(39.33334185, -76.69517066)",13995,118,62
0152 007 072117,0152,007,313 N STRICKER ST,07/21/2017,Franklin Square,Western,9,"(39.29250664, -76.64089993)",27632,84,10
1484 048 061711,1484,048,2330 E OLIVER ST,06/17/2011,Broadway East,Eastern,13,"(39.30807046, -76.58444089)",26956,23,148
1127 046 101417,1127,046,1526 N BROADWAY,10/14/2017,Oliver,Eastern,12,"(39.30803832, -76.59526182)",26956,180,154
4004 015 090317,4004,015,1034 E NORTH AVE,09/03/2017,East Baltimore Midway,Eastern,12,"(39.31195525, -76.60431131)",27307,73,156
2216 037 061209,2216,037,509 N LONGWOOD ST,06/12/2009,Penrose/Fayette Street Outreach,Southwestern,9,"(39.29334383, -76.6654036)",27632,197,77
0308 014 041219,0308,014,2127 DIVISION ST,04/12/2019,Druid Heights,Central,7,"(39.3080096, -76.63774053)",27301,66,98
0107 056 061114,0107,056,1938 EDMONDSON AVE,06/11/2014,Midtown-Edmondson,Western,9,"(39.29530174, -76.64869852)",27301,153,87
4575 028 041907,4575,028,3708 SPAULDING AVE,04/19/2007,Langston Hughes,Northwestern,6,"(39.34537132, -76.67987079)",27295,135,240
1554 002 042006,1554,002,1103 N PATTERSON PARK AVE,04/20/2006,Biddle Street,Eastern,13,"(39.30374568, -76.58517207)",26956,19,153
2483 032 080216,2483,032,632 N HILTON ST,08/02/2016,Edgewood,Southwestern,8,"(39.29526722, -76.67318606)",27950,269,284
5845B012 121615,5845B,012,5022 BELAIR ROAD,12/16/2015,Waltherson,Notheastern,2,"(39.3362749, -76.55478432)",13991,248,214
1118 033 040719,1118,033,1623 E LANVALE ST,04/07/2019,Oliver,Eastern,12,"(39.30937011, -76.59579805)",26956,180,154
1459 065 081017,1459,065,1722 N CASTLE ST,08/10/2017,Broadway East,Eastern,12,"(39.31050696, -76.58959609)",26956,23,154
0058 009 053111,0058,009,1916 MOSHER ST,05/31/2011,Midtown-Edmondson,Western,9,"(39.29999983, -76.64811906)",27301,153,86
4120 009 030806,4120,009,1649 GORSUCH AVE,03/08/2006,Coldstream Homestead Montebello,Notheastern,14,"(39.32084939, -76.59449264)",27307,54,159
1656 058 031019,1656,058,502 N ROSE ST,03/10/2019,McElderry Park,Southeastern,13,"(39.29710105, -76.58165878)",13987,141,125
0300C079 061014,0300C,079,1554 N WOODYEAR ST,06/10/2014,Sandtown-Winchester,Western,7,"(39.30685686, -76.64145608)",27301,221,22
1096 009 120314,1096,009,422 E LAFAYETTE AVE,12/03/2014,Greenmount West,Eastern,12,"(39.31027042, -76.61001504)",13645,95,158
2446B009 010314,2446B,009,1020 POPLAR GROVE ST,01/03/2014,Franklintown Road,Southwestern,9,"(39.29969055, -76.66554577)",27297,86,83
1460 040 070119,1460,040,2103 E LAFAYETTE AVE,07/01/2019,Broadway East,Eastern,12,"(39.31069576, -76.58810695)",26956,23,154
4021C079 041511,4021C,079,2206 KIRK AVE,04/15/2011,East Baltimore Midway,Eastern,12,"(39.31493987, -76.60569528)",27307,73,157
7119 038 111815,7119,038,812 STOLL ST,11/18/2015,Brooklyn,Southern,10,"(39.23109239, -76.60055806)",27937,26,132
2285 010 053019,2285,010,402 N EDGEWOOD ST,05/30/2019,Allendale,Southwestern,8,"(39.29201428, -76.67568449)",27950,2,75
1142B035 122718,1142B,035,744 E PRESTON ST,12/27/2018,Johnston Square,Eastern,12,"(39.3051098, -76.60674308)",13645,124,193
1503 051 092718,1503,051,2324 E HOFFMAN ST,09/27/2018,Broadway East,Eastern,13,"(39.3070013, -76.58459211)",26956,23,148
7900 068 020519,7900,068,4630 COLEHERNE ROAD,02/05/2019,Hunting Ridge,Southwestern,8,"(39.29511696, -76.69552192)",27950,119,54
0199 019 041614,0199,019,1207 W FAYETTE ST,04/16/2014,Poppleton,Western,9,"(39.2895519, -76.63714373)",27632,201,7
4171 173 110106,4171,173,1959 N COLLINGTON AVE,11/01/2006,South Clifton Park,Eastern,12,"(39.31390299, -76.58735131)",26956,226,155
0327 047 122415,0327,047,1817 PENNSYLVANIA AVE,12/24/2015,Upton,Central,11,"(39.30480889, -76.63583509)",27301,242,99
1449 128 071618,1449,128,1813 N WASHINGTON ST,07/16/2018,Broadway East,Eastern,12,"(39.31142224, -76.59006483)",26956,23,155
0084 056 071609,0084,056,1828 W LANVALE ST,07/16/2009,Harlem Park,Western,9,"(39.29777158, -76.64701035)",27301,106,88
1209 030 103114,1209,030,924 N CAROLINE ST,10/31/2014,Gay Street,Eastern,12,"(39.30142505, -76.59805093)",13987,88,106
3936 094 011318,3936,094,2740 FENWICK AVE,01/13/2018,Coldstream Homestead Montebello,Notheastern,14,"(39.32312009, -76.59065907)",27307,54,189
0112 003 120611,0112,003,604 N CAREY ST,12/06/2011,Harlem Park,Western,9,"(39.2956638, -76.63879396)",27301,106,53
3937 050 041119,3937,050,2708 HUGO AVE,04/11/2019,Coldstream Homestead Montebello,Notheastern,14,"(39.32312606, -76.58934918)",27307,54,189
1537 020 103108,1537,020,1202 N MILTON AVE,10/31/2008,Broadway East,Eastern,13,"(39.30511766, -76.58293287)",26956,23,153
3941B017 012818,3941B,017,2032 E 31ST ST,01/28/2018,Coldstream Homestead Montebello,Notheastern,14,"(39.32655778, -76.58603503)",27307,54,190
1690 111 092618,1690,111,203 N PORT ST,09/26/2018,Patterson Place,Southeastern,13,"(39.29475688, -76.58257646)",27935,192,122
3305 022 060916,3305,022,4347 REISTERSTOWN ROAD,06/09/2016,Central Park Heights,Northwestern,6,"(39.33848821, -76.66717879)",27295,43,283
0021 037 092917,0021,037,1553 N FULTON AVE,09/29/2017,Sandtown-Winchester,Western,7,"(39.30632201, -76.64590632)",27301,221,36
0919 043 020819,0919,043,900 COMPTON ST,02/08/2019,Federal Hill,Southern,11,"(39.27853106, -76.61213977)",27953,67,165
2230I027 030818,2230I,027,14 S ABINGTON AVE,03/08/2018,Carroll-South Hilton,Southwestern,9,"(39.28538305, -76.67128044)",27950,35,76
2407 004 082907,2407,004,1806 POPLAR GROVE ST,08/29/2007,Northwest Community Action,Southwestern,7,"(39.30837171, -76.66602202)",27297,166,43
0207 047 031418,0207,047,1905 W BALTIMORE ST,03/14/2018,Boyd-Booth,Southwestern,9,"(39.28789672, -76.64717506)",27632,4,79
0106 074 060415,0106,074,608 N PAYSON ST,06/04/2015,Midtown-Edmondson,Western,9,"(39.29555154, -76.64932262)",27301,153,87
3410 047 031908,3410,047,2627 FRANCIS ST,03/19/2008,Penn North,Western,7,"(39.31449534, -76.64377935)",27301,195,19
0708 057 061117,0708,057,414 S STRICKER ST,06/11/2017,New Southwest/Mount Clare,Southern,9,"(39.28277514, -76.64088362)",27632,159,9
0007 010 011917,0007,010,1718 N MONROE ST,01/19/2017,Easterwood,Western,7,"(39.30829508, -76.64833978)",27301,74,25
3417 080 111312,3417,080,2499 DRUID HILL AVE,11/13/2012,Penn North,Western,7,"(39.31323337, -76.64067081)",27301,195,18
1474 032 090314,1474,032,1618 N PORT ST,09/03/2014,Broadway East,Eastern,13,"(39.3096225, -76.58387258)",26956,23,148
3411 016 121618,3411,016,2538 DRUID HILL AVE,12/16/2018,Penn North,Western,7,"(39.31405866, -76.64217945)",27301,195,19
1458 016 070116,1458,016,1907 E LAFAYETTE AVE,07/01/2016,Broadway East,Eastern,12,"(39.31060291, -76.59133608)",26956,23,154
3305A025 110512,3305A,025,4303 REISTERSTOWN ROAD,11/05/2012,Central Park Heights,Northwestern,6,"(39.33729569, -76.66632075)",27295,43,70
0224 030 110504,0224,030,1911 HOLLINS ST,11/05/2004,Boyd-Booth,Southwestern,9,"(39.28695939, -76.64730674)",27632,4,79
3403 068 062113,3403,068,1567 RICHLAND ST,06/21/2013,Penn North,Western,7,"(39.31308502, -76.64535046)",27301,195,19
4094 034 042518,4094,034,1139 HOMESTEAD ST,04/25/2018,Better Waverly,Northern,14,"(39.32446983, -76.60204504)",27307,16,180
0123 053 110712,0123,053,1508 W FRANKLIN ST,11/07/2012,Harlem Park,Western,9,"(39.29423252, -76.64192854)",27632,106,88
0095 064 072915,0095,064,1922 HARLEM AVE,07/29/2015,Midtown-Edmondson,Western,9,"(39.29656105, -76.64807882)",27301,153,87
2419 004 071116,2419,004,1606 POPLAR GROVE ST,07/11/2016,Northwest Community Action,Southwestern,7,"(39.30623642, -76.66587674)",27297,166,43
2443B010 100608,2443B,010,2918 ELLICOTT DRIVEWAY,10/06/2008,Winchester,Southwestern,9,"(39.30225144, -76.66639903)",27297,247,83
3183A020 011211,3183A,020,2817 SANTA FE AVE,01/12/2011,Towanda-Grantley,Northwestern,6,"(39.33499646, -76.66604007)",27295,232,70
0094 091 032906,0094,091,2003 W LANVALE ST,03/29/2006,Midtown-Edmondson,Western,9,"(39.29729294, -76.64936523)",27301,153,87
0174 066 080516,0174,066,118 N SMALLWOOD ST,08/05/2016,Penrose/Fayette Street Outreach,Western,9,"(39.29006599, -76.65181832)",27632,197,80
0175 029 030211,0175,029,2146 VINE ST,03/02/2011,Penrose/Fayette Street Outreach,Western,9,"(39.29001727, -76.65130448)",27632,197,80
1623 042 062210,1623,042,715 N PATTERSON PARK AVE,06/22/2010,Milton-Montford,Eastern,13,"(39.29911958, -76.58489297)",13987,155,125
0600 001 031618,0600,001,100 W LEXINGTON ST,03/16/2018,Downtown,Central,11,"(39.29189336, -76.61732143)",13642,65,5
0244 029 052815,0244,029,1718 W PRATT ST,05/28/2015,Union Square,Southern,9,"(39.2854565, -76.64455309)",27632,236,9
0328 012 012717,0328,012,1822 DRUID HILL AVE,01/27/2017,Druid Heights,Central,11,"(39.30618269, -76.63410949)",27301,66,99
0431 032 011205,0431,032,1144 ARGYLE AVE,01/12/2005,Upton,Central,11,"(39.29841563, -76.63055855)",13642,242,89
4058 014 053119,4058,014,609 MCKEWIN AVE,05/31/2019,Waverly,Northern,14,"(39.33275665, -76.60709186)",27307,251,182
2377B021 021706,2377B,021,629 N FRANKLINTOWN ROAD,02/17/2006,Mosher,Western,9,"(39.29511817, -76.66390168)",27297,163,233
4804A008 122318,4804A,008,3014 VIRGINIA AVE,12/23/2018,Cylburn,Northern,6,"(39.34525007, -76.66692473)",27295,60,242
0271 048 062509,0271,048,337 FURROW ST,06/25/2009,Carrollton Ridge,Southwestern,9,"(39.28334588, -76.65171543)",27632,36,279
2332C024 112204,2332C,024,2815 PRESSTMAN ST,11/22/2004,Northwest Community Action,Southwestern,9,"(39.30442732, -76.664352)",27297,166,82
4178 039 030619,4178,039,3163 RAVENWOOD AVE,03/06/2019,Four By Four,Notheastern,13,"(39.31514617, -76.57878778)",26956,276,194
0065 032 062204,0065,032,1033 N CAREY ST,06/22/2004,Sandtown-Winchester,Western,9,"(39.30089887, -76.63853507)",27301,221,15
0314 024 081711,0314,024,507 BLOOM ST,08/17/2011,Druid Heights,Central,11,"(39.30779901, -76.63657849)",27301,66,99
1177 025 093018,1177,025,1113 N CAROLINE ST,09/30/2018,Gay Street,Eastern,12,"(39.30354511, -76.59752419)",26956,88,100
0452 024 111104,0452,024,819 HARLEM AVE,11/11/2004,Upton,Central,11,"(39.29666221, -76.63167803)",13642,242,89
7075 053 120317,7075,053,3561 4TH ST,12/03/2017,Brooklyn,Southern,10,"(39.23772807, -76.60486542)",27937,26,143
2380 043 052619,2380,043,2861 W LANVALE ST,05/26/2019,Mosher,Western,9,"(39.29697075, -76.66460153)",27297,163,233
5695F112 040518,5695F,112,4117 CENTURY ROAD,04/05/2018,Glenham-Belhar,Notheastern,2,"(39.34603316, -76.5412552)",13991,93,262
2539 025 031414,2539,025,264 S LOUDON AVE,03/14/2014,Irvington,Southwestern,8,"(39.28217213, -76.68236431)",27950,122,74
0175 097 112216,0175,097,2114 W FAYETTE ST,11/22/2016,Penrose/Fayette Street Outreach,Western,9,"(39.28953773, -76.65062424)",27632,197,80
2482B041 111413,2482B,041,2903 ARUNAH AVE,11/14/2013,Franklintown Road,Southwestern,9,"(39.29497321, -76.66549447)",27632,86,83
0005 003 031314,0005,003,1645 W NORTH AVE,03/13/2014,Sandtown-Winchester,Western,7,"(39.30976006, -76.64390811)",27301,221,22
0175 078 020518,0175,078,2151 VINE ST,02/05/2018,Penrose/Fayette Street Outreach,Western,9,"(39.28972167, -76.65137122)",27632,197,80
2179 032 052119,2179,032,2501 W PRATT ST,05/21/2019,Shipley Hill,Southwestern,9,"(39.28447019, -76.65643396)",27632,225,78
0242 063 011708,0242,063,1903 W LOMBARD ST,01/17/2008,Carrollton Ridge,Southern,9,"(39.28595769, -76.64716758)",27632,36,79
0153 034 042318,0153,034,313 N CALHOUN ST,04/23/2018,Franklin Square,Western,9,"(39.29257683, -76.6394842)",27632,84,10
0707 069 052419,0707,069,405 S VINCENT ST,05/24/2019,New Southwest/Mount Clare,Southern,9,"(39.28284849, -76.64262281)",27632,159,9
3408 029 042312,3408,029,2548 FRANCIS ST,04/23/2012,Penn North,Western,7,"(39.31349307, -76.64319801)",27301,195,19
1145 017 111617,1145,017,1302 AISQUITH ST,11/16/2017,Oliver,Eastern,12,"(39.30520511, -76.60246943)",13645,180,193
0156 073 041219,0156,073,1033 SARAH ANN ST,04/12/2019,Poppleton,Western,9,"(39.29276971, -76.63498733)",27632,201,8
0110 033 111407,0110,033,623 N MOUNT ST,11/14/2007,Harlem Park,Western,9,"(39.29602388, -76.64390473)",27301,106,88
1621 014 122418,1621,014,727 N CHESTER ST,12/24/2018,Middle East,Eastern,13,"(39.29924688, -76.58763616)",13987,152,125
4041 047 112707,4041,047,645 BARTLETT AVE,11/27/2007,East Baltimore Midway,Eastern,12,"(39.31632165, -76.60694052)",27307,73,157
0719B028 031513,0719B,028,603 S PAYSON ST,03/15/2013,Carrollton Ridge,Southern,9,"(39.2808362, -76.64705913)",27632,36,279
0149 033 121113,0149,033,311 N BRUCE ST,12/11/2013,Franklin Square,Western,9,"(39.29236491, -76.64451795)",27632,84,10
1099A050 072511,1099A,050,1827 AISQUITH ST,07/25/2011,Oliver,Eastern,12,"(39.31112629, -76.60235129)",13645,180,193
1654 010 101017,1654,010,519 N PATTERSON PARK AVE,10/10/2017,McElderry Park,Southeastern,13,"(39.29702502, -76.58475742)",13987,141,125
3417 114 041206,3417,114,2427 DRUID HILL AVE,04/12/2006,Penn North,Western,7,"(39.3121328, -76.6396842)",27301,195,18
5985 024 021818,5985,024,5300 GREENHILL AVE,02/18/2018,Frankford,Notheastern,2,"(39.33583093, -76.55073672)",13991,46,211
2407 036 101006,2407,036,2922 WESTWOOD AVE,10/10/2006,Northwest Community Action,Southwestern,7,"(39.30832405, -76.6668066)",27297,166,43
1628 064 121916,1628,064,702 N STREEPER ST,12/19/2016,Madison-Eastend,Eastern,13,"(39.29939104, -76.57756128)",13987,145,124
1466 088 112918,1466,088,1618 N REGESTER ST,11/29/2018,Broadway East,Eastern,12,"(39.30919396, -76.59420194)",26956,23,154
3022 022 062118,3022,022,3002 CLIFTON AVE,06/21/2018,Walbrook,Southwestern,7,"(39.31150866, -76.66812749)",27297,246,46
1572 035 032715,1572,035,1020 N MILTON AVE,03/27/2015,Biddle Street,Eastern,13,"(39.30293101, -76.58279883)",13987,19,153
1184 070 041118,1184,070,1009 VALLEY ST,04/11/2018,Johnston Square,Eastern,12,"(39.30197247, -76.604669)",13645,124,107
0118 083 120718,0118,083,525 N BRICE ST,12/07/2018,Midtown-Edmondson,Western,9,"(39.29446558, -76.64954865)",27632,153,87
1453 028 112409,1453,028,1800 N MONTFORD AVE,11/24/2009,Broadway East,Eastern,13,"(39.31138109, -76.58474289)",26956,23,277
0212 028 013015,0212,028,1613 FREDERICK AVE,01/30/2015,Union Square,Southern,9,"(39.28789414, -76.64285325)",27632,236,9
4005 071 021018,4005,071,1901 KENNEDY AVE,02/10/2018,East Baltimore Midway,Eastern,12,"(39.31215697, -76.60392435)",27307,73,156
4605A019 092515,4605A,019,4927 EDGEMERE AVE,09/25/2015,Central Park Heights,Northwestern,6,"(39.34506976, -76.67407764)",27295,43,240
1661 067 071015,1661,067,513 N POTOMAC ST,07/10/2015,Ellwood Park/Monument,Southeastern,13,"(39.29733016, -76.57485986)",13987,78,124
5182 005 121416,5182,005,5008 MIDWOOD AVE,12/14/2016,Winston-Govans,Northern,4,"(39.34911872, -76.60393541)",14009,261,217
